entity,code,year,gdp_pc,democracy_index,capital_latitude,capital_longitude,population_density,log_population_density,log_population_density_normalized_on_average,democracy_index_normalized_on_average,initial_state
United Arab Emirates,ARE,2020,66766.05,2.76,24.47,54.37,139.26,4.94,1.14,0.51,0
United Kingdom,GBR,2020,46526.91,8.52,51.5,-0.08,277.27,5.63,1.3,1.56,0
United States,USA,2020,63027.68,7.96,38.88,-77,36.24,3.59,0.83,1.46,0
Uruguay,URY,2020,22728.22,8.38,-34.85,-56.17,19.85,2.99,0.69,1.54,0
Uzbekistan,UZB,2020,7746.43,2.01,41.32,69.25,77.7,4.35,1.01,0.37,0
Venezuela,VEN,2020,4500,2.88,10.48,-66.87,32.24,3.47,0.8,0.53,0
Vietnam,VNM,2020,10904.45,3.08,21.03,105.85,313.92,5.75,1.33,0.56,1
Yemen,YEM,2020,980,1.95,15.35,44.2,56.49,4.03,0.93,0.36,0
Zambia,ZMB,2020,3457.33,5.09,-15.42,28.28,24.73,3.21,0.74,0.93,0
Zimbabwe,ZWE,2020,2251.46,3.16,-17.82,31.03,38.42,3.65,0.85,0.58,0
